PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-04-14,18:02:08.80,1,1,"Morlang, Nic",1000305768,Right,MAR_TER,"Nathison, Brady",1000278314,Right,TOW_TIG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.0895,-0.856119,-3.242841,2134.815304,206.492345,1:00,5.65535,2.54309,5.81039,-19.18048,17.31997,8.00264,3.25955,0.19124,79.75094,-4.501251,-1.81217,0.434831,,,,,,,,,,,,-5.04437,9.45252,-2.28174,50,5.5738,6.88674,-127.62639,-2.47926,-8.24815,28.38674,-16.71803,MAR_TER,TOW_TIG,BobSmithStadium,D1,BIG10,20260414-BobSmithStadium-1,9550e520-384d-11f1-83ea-81c767ac98b9,86.68296,,,8.33855,,,,,,,1c67ca82-a48d-4c0f-867f-9858532192aa,2026-04-14,22:02:08.80,2026-04-14T18:02:08.8018944-04:00,2026-04-14T22:02:08.8018944Z,,v3,471349,471469,1ec49a4a21264dd2a8ba0e76edb8b4f0,"Stockton, Rylen",1000434480,Right,MAR_TER,ba86835e-b97d-452f-9673-1ff7e86db62e,54.68516,-128.66425,14.19337,5.65327,-1.86803,-8.35902,-2.53904,7.1883,-4.12407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
2,2026-04-14,18:02:21.55,1,2,"Morlang, Nic",1000305768,Right,MAR_TER,"Nathison, Brady",1000278314,Right,TOW_TIG,Undefined,1,Top,0,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.05343,-0.153544,-3.65031,2141.191424,90.310128,9:00,5.4531,2.64078,5.41271,-42.23254,1.46008,-6.08662,1.78959,-1.29082,74.14884,-7.851256,-4.729903,0.475747,,,,,,,,,,,,1.98024,1.20035,-2.31144,50,5.41003,7.73585,-117.39523,-1.77793,2.74506,23.61008,-30.51008,MAR_TER,TOW_TIG,BobSmithStadium,D1,BIG10,20260414-BobSmithStadium-1,9cf22c30-384d-11f1-83ea-81c767ac98b9,79.22799,,,6.90459,,,,,,,1c67ca82-a48d-4c0f-867f-9858532192aa,2026-04-14,22:02:21.55,2026-04-14T18:02:21.5508992-04:00,2026-04-14T22:02:21.5508992Z,,v3,471349,471469,1ec49a4a21264dd2a8ba0e76edb8b4f0,"Stockton, Rylen",1000434480,Right,MAR_TER,af552067-b423-42b6-9e0b-a1b27592e13e,55.0854,-118.41357,11.80504,5.45833,-0.46198,-15.25504,-2.64255,7.61745,1.37253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
3,2026-04-14,18:02:35.86,1,3,"Morlang, Nic",1000305768,Right,MAR_TER,"Nathison, Brady",1000278314,Right,TOW_TIG,Undefined,1,Top,0,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.49887,0.103003,-4.078073,2224.215696,64.601239,8:15,5.40308,2.84453,5.51313,-43.19014,-0.72602,-4.0387,1.90047,-1.31183,75.59589,-7.738279,-4.795155,0.46901,,,,,,,,,,,,1.01256,-0.03756,-2.48574,50,5.38284,8.58705,-118.19977,-1.28317,1.44481,20.71195,-32.22762,MAR_TER,TOW_TIG,BobSmithStadium,D1,BIG10,20260414-BobSmithStadium-1,a57dac30-384d-11f1-83ea-81c767ac98b9,80.3659,,,5.90298,,,,,,,1c67ca82-a48d-4c0f-867f-9858532192aa,2026-04-14,22:02:35.86,2026-04-14T18:02:35.8631936-04:00,2026-04-14T22:02:35.8631936Z,,v3,471349,471469,1ec49a4a21264dd2a8ba0e76edb8b4f0,"Stockton, Rylen",1000434480,Right,MAR_TER,f65d694e-b129-4519-92b3-f836915f3a6e,54.98734,-119.07049,10.35598,5.4083,0.07165,-16.11381,-2.84546,8.52631,0.72241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
4,2026-04-14,18:02:51.16,1,4,"Morlang, Nic",1000305768,Right,MAR_TER,"Nathison, Brady",1000278314,Right,TOW_TIG,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.74346,-0.906876,-3.931803,2226.707637,207.492608,1:00,5.71944,2.54768,5.92827,-18.13741,17.51265,8.50296,3.3645,-0.39756,80.76108,-4.355773,-2.41033,0.429736,,,,,,,,,,,,-5.53425,9.61221,-2.23803,50,5.63668,8.49213,-128.61796,-2.57473,-9.23573,27.60917,-16.13288,MAR_TER,TOW_TIG,BobSmithStadium,D1,BIG10,20260414-BobSmithStadium-1,ae95b4c0-384d-11f1-83ea-81c767ac98b9,87.71073,,,7.98237,,,,,,,1c67ca82-a48d-4c0f-867f-9858532192aa,2026-04-14,22:02:51.16,2026-04-14T18:02:51.1646208-04:00,2026-04-14T22:02:51.1646208Z,,v3,471349,471469,1ec49a4a21264dd2a8ba0e76edb8b4f0,"Stockton, Rylen",1000434480,Right,MAR_TER,e9c94d6e-f6e4-49f4-a1e1-ee8d39cbd7b1,54.57053,-129.59536,13.80458,5.71772,-2.00361,-8.06644,-2.54446,8.81909,-4.61787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
5,2026-04-14,18:03:13.15,1,5,"Morlang, Nic",1000305768,Right,MAR_TER,"Nathison, Brady",1000278314,Right,TOW_TIG,Undefined,1,Top,0,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.63572,0.519642,-3.429973,2179.258247,38.21011,7:15,5.55924,2.56194,5.243,-52.42479,-3.43551,-3.91981,1.67976,-0.99206,70.48444,-8.966225,-4.12391,0.503758,,,,,,,,,,,,0.98291,-1.45012,-2.24342,50,5.56779,6.80817,-111.0637,-0.77148,1.22371,20.50078,-33.9794,MAR_TER,TOW_TIG,BobSmithStadium,D1,BIG10,20260414-BobSmithStadium-1,bbf13360-384d-11f1-83ea-81c767ac98b9,74.8225,,,6.15128,,,,,,,1c67ca82-a48d-4c0f-867f-9858532192aa,2026-04-14,22:03:13.15,2026-04-14T18:03:13.1559936-04:00,2026-04-14T22:03:13.1559936Z,,v3,471349,471469,1ec49a4a21264dd2a8ba0e76edb8b4f0,"Stockton, Rylen",1000434480,Right,MAR_TER,60d2192f-10d2-4991-9d71-54dc3ad898f8,55.25707,-112.02988,10.25039,5.56641,0.82993,-16.9897,-2.56292,6.7505,0.61185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
6,2026-04-14,18:03:30.72,1,6,"Morlang, Nic",1000305768,Right,MAR_TER,"Nathison, Brady",1000278314,Right,TOW_TIG,Undefined,1,Top,0,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.53386,-1.256608,-2.648835,2130.187529,213.711467,1:00,5.63187,2.5208,5.73275,-17.72273,17.63422,10.95682,2.98331,0.96538,81.17329,-4.627312,-0.690655,0.427966,61.50367,63.287385,134.391688,4424.332831,,,,,18.84542,,,-6.4565,9.74788,-2.30714,50,5.51653,5.54615,-129.83353,-3.39449,-10.92572,29.3707,-15.67862,MAR_TER,TOW_TIG,BobSmithStadium,D1,BIG10,20260414-BobSmithStadium-1,c6258160-384d-11f1-83ea-81c767ac98b9,88.07351,37.77809,,8.36056,,,,1.15996,3.07366,-0.93959,1c67ca82-a48d-4c0f-867f-9858532192aa,2026-04-14,22:03:30.72,2026-04-14T18:03:30.7200512-04:00,2026-04-14T22:03:30.7200512Z,,v3,471349,471469,1ec49a4a21264dd2a8ba0e76edb8b4f0,"Stockton, Rylen",1000434480,Right,MAR_TER,989c5154-0713-4f46-a326-2480f5ef7207,54.76642,-130.90734,14.68535,5.63015,-2.82127,-7.83931,-2.51721,5.9456,-5.46286,335.287562,1.15996,-28.36621,-3.2634,1.7027,-0.51813,0.13137,-0.03129,0.00604,-0.00056,3.07366,80.57785,-26.36381,2.9908,-0.50535,0.06232,0.00104,-0.01049,0.00537,-0.93959,28.97503,-5.99762,2.33506,-0.58436,0.12594,-0.02608,0.00408,-0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,,,
7,2026-04-14,18:03:51.84,1,7,"Morlang, Nic",1000305768,Right,MAR_TER,"Nathison, Brady",1000278314,Right,TOW_TIG,Undefined,1,Top,0,3,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,89.77506,-2.44058,-3.754231,2214.609922,216.615542,1:15,5.61101,2.48364,5.92624,-17.31379,17.52529,12.16493,1.8974,0.00893,81.86162,-5.728816,-1.575549,0.42482,,,,,,,,,,,,-7.29729,10.01981,-2.18999,50,5.40559,8.017,-130.03889,-6.06277,-12.47002,27.78428,-15.05162,MAR_TER,TOW_TIG,BobSmithStadium,D1,BIG10,20260414-BobSmithStadium-1,d2c77400-384d-11f1-83ea-81c767ac98b9,88.72576,,,7.91345,,,,,,,1c67ca82-a48d-4c0f-867f-9858532192aa,2026-04-14,22:03:51.84,2026-04-14T18:03:51.8470000-04:00,2026-04-14T22:03:51.8470000Z,,v3,471349,471469,1ec49a4a21264dd2a8ba0e76edb8b4f0,"Stockton, Rylen",1000434480,Right,MAR_TER,1e2fb42c-84f9-4c6c-b517-e38ebaedb753,54.57157,-131.01202,13.89214,5.60871,-5.5356,-7.52581,-2.47844,8.45376,-6.23501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.53383,2.818108,1.901824,0.916284,0.69722,1.82486,0.01068,3.2357,4.03944,-5.398,71.68861,8.88378,-53.08974,3.26543,79.46189,-5.2121,4.10845,20.20187,-16.32918,-5.47688,-58.90035,7.53807,High,High,High,,,High,High,High,,,
8,2026-04-14,18:04:18.50,2,1,"Morlang, Nic",1000305768,Right,MAR_TER,"Francuzenko, Nicholas",1000093664,Left,TOW_TIG,Undefined,1,Top,1,0,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.07565,-0.376902,-3.132568,1363.986159,243.526149,2:00,5.51553,2.70108,6.59344,-36.06813,5.30339,8.07851,2.164,0.50127,74.5051,-7.123767,-1.664714,0.462937,61.84767,41.730441,-151.616022,3807.962606,-99.37798,36.95798,-47.15929,170.78973,57.02404,-156.051562,2.843113,-5.15225,3.25449,-2.49018,50,5.47466,6.17423,-117.80505,-1.77788,-7.24066,22.37125,-27.60039,MAR_TER,TOW_TIG,BobSmithStadium,D1,BIG10,20260414-BobSmithStadium-1,e2b58460-384d-11f1-83ea-81c767ac98b9,81.42022,40.21981,,6.57055,,,,1.50813,1.90479,-0.35127,1c67ca82-a48d-4c0f-867f-9858532192aa,2026-04-14,22:04:18.50,2026-04-14T18:04:18.5059328-04:00,2026-04-14T22:04:18.5059328Z,Popup,v3,471349,471469,1ec49a4a21264dd2a8ba0e76edb8b4f0,"Stockton, Rylen",1000434480,Right,MAR_TER,87092447-158e-4ee5-af5c-0d3d989f8951,53.90649,-118.54458,11.18563,5.51835,-0.8655,-13.80019,-2.69824,6.41359,-3.62033,20.548721,1.50785,-59.5436,1.13209,0.10721,0.08696,-0.08043,0.02543,-0.00281,3E-05,1.90468,60.38402,-27.07328,3.17658,-0.57782,0.0545,0.00347,-0.00199,0.00024,-0.35122,-32.18289,4.32578,-0.77249,0.02315,0.0756,-0.0387,0.00938,-0.00091,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,,,
9,2026-04-14,18:04:33.67,2,2,"Morlang, Nic",1000305768,Right,MAR_TER,"Francuzenko, Nicholas",1000093664,Left,TOW_TIG,Undefined,1,Top,1,0,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.91996,1.154959,-1.86566,2112.265768,9.338111,6:15,5.50857,2.64102,5.34466,-56.96964,-7.21874,-1.45232,1.8452,0.76934,69.60505,-9.184629,-2.123992,0.507659,,,,,,,,,,,,0.17413,-3.44638,-2.47182,50,5.57193,3.64393,-110.14018,0.29392,0.21256,20.70379,-36.38102,MAR_TER,TOW_TIG,BobSmithStadium,D1,BIG10,20260414-BobSmithStadium-1,ebc1f430-384d-11f1-83ea-81c767ac98b9,74.24758,,,6.31492,,,,,,,1c67ca82-a48d-4c0f-867f-9858532192aa,2026-04-14,22:04:33.67,2026-04-14T18:04:33.6747008-04:00,2026-04-14T22:04:33.6747008Z,,v3,471349,471469,1ec49a4a21264dd2a8ba0e76edb8b4f0,"Stockton, Rylen",1000434480,Right,MAR_TER,b096ebee-2e4a-43c8-8bab-09f8335a3017,55.15511,-111.10499,10.35189,5.51873,1.98931,-18.19051,-2.6414,3.63402,0.10628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
10,2026-04-14,18:04:47.11,2,3,"Morlang, Nic",1000305768,Right,MAR_TER,"Francuzenko, Nicholas",1000093664,Left,TOW_TIG,Undefined,1,Top,1,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.9342,-1.779821,-3.067869,2264.455991,203.278037,12:45,5.64877,2.54744,5.74943,-15.16324,19.38422,7.89611,2.72532,0.34665,82.7239,-4.657711,-1.657484,0.423038,76.85709,12.340927,-175.255039,898.081402,-109.37375,9.44635,-11.71951,154.13713,47.57848,-173.530473,1.644081,-4.75851,10.60768,-2.29715,50,5.49133,6.64366,-130.47557,-4.49732,-8.27621,25.15653,-13.72473,MAR_TER,TOW_TIG,BobSmithStadium,D1,BIG10,20260414-BobSmithStadium-1,f3bcf400-384d-11f1-83ea-81c767ac98b9,89.09939,11.57347,,7.2103,,,,1.60222,2.75663,-0.33629,1c67ca82-a48d-4c0f-867f-9858532192aa,2026-04-14,22:04:47.11,2026-04-14T18:04:47.1169024-04:00,2026-04-14T22:04:47.1169024Z,LineDrive,v3,471349,471469,1ec49a4a21264dd2a8ba0e76edb8b4f0,"Stockton, Rylen",1000434480,Right,MAR_TER,dba1fc3d-5bf0-4457-ac46-5ae886a29847,54.74744,-131.38771,12.57826,5.64537,-3.99968,-6.86236,-2.54348,6.94375,-4.1381,236.083213,1.36579,-107.73368,8.43522,,,,,,,2.91864,22.75302,-14.97388,,,,,,,-0.29633,-9.45081,-0.57955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,,,
