PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-04-14,18:06:42.51,1,1,"Test12, Ola12",10113786,Right,TeamX,"HQ, Trackman Test 31",1000082931,Right,TestK,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,124.14014,-1.64224,0.121429,66.05,147.105764,10:45,4.99881,-4.59751,4.61993,-25.11001,9.00863,-6.2215,2.12409,-0.046,60.95294,-6.311375,1.773473,0.420404,107.42503,26.234475,-19.413234,2475.604471,103.06677,49.32486,-38.43423,405.5617,396.49799,-23.151821,4.620442,4.05331,5.42276,1.98363,50,5.58979,-6.37724,-131.49964,-4.60232,7.0658,29.04273,-22.72092,TeamX,TestK,THQ,D1,AMER,20260414-THQ-1,8c5fd1e0-3813-11f1-91df-9b21431421ad,89.6576,73.64799,,7.9301,,,,2.28334,2.25508,0.07802,9d174295-deef-4c12-aacc-944d3ac42212,2026-04-14,15:06:42.51,2026-04-14T18:06:42.5150000+03:00,2026-04-14T15:06:42.5150000Z,FlyBall,v3,exId_trackmanTeamX,test-11,,"Test11, Ola11",10112878,Right,TeamX,ed38b39c-76b1-4cf5-9521-3ad8319c4ace,54.5649,-132.504,14.52137,5.73537,-3.81658,-11.36046,2.2084,-6.62159,3.5329,151.393512,2.28292,133.30118,-25.3125,6.3975,-1.58504,0.39645,-0.08511,0.01142,-0.00064,2.25682,69.60688,-18.93612,0.89845,0.22633,-0.18791,0.05703,-0.00796,0.00042,0.07818,-46.98244,3.41753,0.03481,-0.07698,-0.0024,0.00781,-0.00186,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,
2,2026-04-14,18:06:51.47,1,2,"Test12, Ola12",10113786,Right,TeamX,"HQ, Trackman Test 31",1000082931,Right,TestK,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,69.92622,-1.40714,1.810304,3824.32,140.799646,10:45,4.22828,-6.32228,4.20913,-25.11001,9.00863,-6.2215,2.12409,-0.046,84.99395,-6.311375,1.773473,0.420404,107.42503,26.234475,-19.413234,2475.604471,103.06677,49.32486,-38.43423,405.5617,396.49799,-23.151821,4.620442,4.05331,5.42276,1.98363,50,5.58979,-6.37724,-131.49964,-4.60232,7.0658,29.04273,-22.72092,TeamX,TestK,THQ,D1,AMER,20260414-THQ-1,91b50610-3813-11f1-91df-9b21431421ad,89.6576,73.64799,,7.9301,,,,2.28334,2.25508,0.07802,9d174295-deef-4c12-aacc-944d3ac42212,2026-04-14,15:06:51.47,2026-04-14T18:06:51.4730000+03:00,2026-04-14T15:06:51.4730000Z,FlyBall,v3,exId_trackmanTeamX,test-11,,"Test11, Ola11",10112878,Right,TeamX,7d627d4e-184b-4218-8311-99efd78107dc,54.5649,-132.504,14.52137,5.73537,-3.81658,-11.36046,2.2084,-6.62159,3.5329,151.393512,2.28292,133.30118,-25.3125,6.3975,-1.58504,0.39645,-0.08511,0.01142,-0.00064,2.25682,69.60688,-18.93612,0.89845,0.22633,-0.18791,0.05703,-0.00796,0.00042,0.07818,-46.98244,3.41753,0.03481,-0.07698,-0.0024,0.00781,-0.00186,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,
3,2026-04-14,18:07:00.65,1,3,"Test12, Ola12",10113786,Right,TeamX,"HQ, Trackman Test 31",1000082931,Right,TestK,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,72.56713,-1.45612,3.244762,2730.45,135.617086,10:45,3.32764,-4.12291,4.82928,-25.11001,9.00863,-6.2215,2.12409,-0.046,63.26035,-6.311375,1.773473,0.420404,107.42503,26.234475,-19.413234,2475.604471,103.06677,49.32486,-38.43423,405.5617,396.49799,-23.151821,4.620442,4.05331,5.42276,1.98363,50,5.58979,-6.37724,-131.49964,-4.60232,7.0658,29.04273,-22.72092,TeamX,TestK,THQ,D1,AMER,20260414-THQ-1,973011c0-3813-11f1-91df-9b21431421ad,89.6576,73.64799,,7.9301,,,,2.28334,2.25508,0.07802,9d174295-deef-4c12-aacc-944d3ac42212,2026-04-14,15:07:00.65,2026-04-14T18:07:00.6590000+03:00,2026-04-14T15:07:00.6590000Z,FlyBall,v3,exId_trackmanTeamX,test-11,,"Test11, Ola11",10112878,Right,TeamX,756ff6bd-f8b1-492c-97e2-f42d12516069,54.5649,-132.504,14.52137,5.73537,-3.81658,-11.36046,2.2084,-6.62159,3.5329,151.393512,2.28292,133.30118,-25.3125,6.3975,-1.58504,0.39645,-0.08511,0.01142,-0.00064,2.25682,69.60688,-18.93612,0.89845,0.22633,-0.18791,0.05703,-0.00796,0.00042,0.07818,-46.98244,3.41753,0.03481,-0.07698,-0.0024,0.00781,-0.00186,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,
4,2026-04-14,18:07:09.67,1,4,"Test12, Ola12",10113786,Right,TeamX,"1, Test",1000231884,Left,TestK,Undefined,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,59.71527,-1.20162,2.320898,1825.65,138.258855,10:45,6.41572,-5.95445,6.3477,-25.11001,9.00863,-6.2215,2.12409,-0.046,59.46021,-6.311375,1.773473,0.420404,107.42503,26.234475,-19.413234,2475.604471,103.06677,49.32486,-38.43423,405.5617,396.49799,-23.151821,4.620442,4.05331,5.42276,1.98363,50,5.58979,-6.37724,-131.49964,-4.60232,7.0658,29.04273,-22.72092,TeamX,TestK,THQ,D1,AMER,20260414-THQ-1,9c8ff450-3813-11f1-91df-9b21431421ad,89.6576,73.64799,,7.9301,,,,2.28334,2.25508,0.07802,9d174295-deef-4c12-aacc-944d3ac42212,2026-04-14,15:07:09.67,2026-04-14T18:07:09.6750000+03:00,2026-04-14T15:07:09.6750000Z,FlyBall,v3,exId_trackmanTeamX,test-11,,"Test11, Ola11",10112878,Right,TeamX,efb5cad9-0272-4d86-9e10-2a35292a1376,54.5649,-132.504,14.52137,5.73537,-3.81658,-11.36046,2.2084,-6.62159,3.5329,151.393512,2.28292,133.30118,-25.3125,6.3975,-1.58504,0.39645,-0.08511,0.01142,-0.00064,2.25682,69.60688,-18.93612,0.89845,0.22633,-0.18791,0.05703,-0.00796,0.00042,0.07818,-46.98244,3.41753,0.03481,-0.07698,-0.0024,0.00781,-0.00186,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,
5,2026-04-14,18:07:18.66,1,5,"Test12, Ola12",10113786,Right,TeamX,"1, Test",1000231884,Left,TestK,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,52.35674,-1.68365,2.080034,2704.42,138.218991,10:45,4.80871,-5.42235,4.48725,-25.11001,9.00863,-6.2215,2.12409,-0.046,50.03463,-6.311375,1.773473,0.420404,107.42503,26.234475,-19.413234,2475.604471,103.06677,49.32486,-38.43423,405.5617,396.49799,-23.151821,4.620442,4.05331,5.42276,1.98363,50,5.58979,-6.37724,-131.49964,-4.60232,7.0658,29.04273,-22.72092,TeamX,TestK,THQ,D1,AMER,20260414-THQ-1,a1ea0a80-3813-11f1-91df-9b21431421ad,89.6576,73.64799,,7.9301,,,,2.28334,2.25508,0.07802,9d174295-deef-4c12-aacc-944d3ac42212,2026-04-14,15:07:18.66,2026-04-14T18:07:18.6630000+03:00,2026-04-14T15:07:18.6630000Z,FlyBall,v3,exId_trackmanTeamX,test-11,,"Test11, Ola11",10112878,Right,TeamX,956adc59-af9e-4db7-ab31-19ccd797468c,54.5649,-132.504,14.52137,5.73537,-3.81658,-11.36046,2.2084,-6.62159,3.5329,151.393512,2.28292,133.30118,-25.3125,6.3975,-1.58504,0.39645,-0.08511,0.01142,-0.00064,2.25682,69.60688,-18.93612,0.89845,0.22633,-0.18791,0.05703,-0.00796,0.00042,0.07818,-46.98244,3.41753,0.03481,-0.07698,-0.0024,0.00781,-0.00186,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,
6,2026-04-14,18:07:27.60,1,6,"Test12, Ola12",10113786,Right,TeamX,"1, Test",1000231884,Left,TestK,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,78.81683,-1.46486,1.856754,1508.37,130.442265,10:45,4.72937,-4.09032,5.84274,-25.11001,9.00863,-6.2215,2.12409,-0.046,72.19917,-6.311375,1.773473,0.420404,107.42503,26.234475,-19.413234,2475.604471,103.06677,49.32486,-38.43423,405.5617,396.49799,-23.151821,4.620442,4.05331,5.42276,1.98363,50,5.58979,-6.37724,-131.49964,-4.60232,7.0658,29.04273,-22.72092,TeamX,TestK,THQ,D1,AMER,20260414-THQ-1,a73fdaf0-3813-11f1-91df-9b21431421ad,89.6576,73.64799,,7.9301,,,,2.28334,2.25508,0.07802,9d174295-deef-4c12-aacc-944d3ac42212,2026-04-14,15:07:27.60,2026-04-14T18:07:27.6000000+03:00,2026-04-14T15:07:27.6000000Z,FlyBall,v3,exId_trackmanTeamX,test-11,,"Test11, Ola11",10112878,Right,TeamX,49e01356-f2a7-49b3-8f55-cc9c52a0eeca,54.5649,-132.504,14.52137,5.73537,-3.81658,-11.36046,2.2084,-6.62159,3.5329,151.393512,2.28292,133.30118,-25.3125,6.3975,-1.58504,0.39645,-0.08511,0.01142,-0.00064,2.25682,69.60688,-18.93612,0.89845,0.22633,-0.18791,0.05703,-0.00796,0.00042,0.07818,-46.98244,3.41753,0.03481,-0.07698,-0.0024,0.00781,-0.00186,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,
7,2026-04-14,18:07:36.57,1,7,"Test12, Ola12",10113786,Right,TeamX,"1, Test",1000231884,Left,TestK,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,103.08113,-1.66269,2.571665,2296.49,138.960263,10:45,6.34519,-4.37425,4.51953,-25.11001,9.00863,-6.2215,2.12409,-0.046,88.51218,-6.311375,1.773473,0.420404,107.42503,26.234475,-19.413234,2475.604471,103.06677,49.32486,-38.43423,405.5617,396.49799,-23.151821,4.620442,4.05331,5.42276,1.98363,50,5.58979,-6.37724,-131.49964,-4.60232,7.0658,29.04273,-22.72092,TeamX,TestK,THQ,D1,AMER,20260414-THQ-1,ac94c100-3813-11f1-91df-9b21431421ad,89.6576,73.64799,,7.9301,,,,2.28334,2.25508,0.07802,9d174295-deef-4c12-aacc-944d3ac42212,2026-04-14,15:07:36.57,2026-04-14T18:07:36.5770000+03:00,2026-04-14T15:07:36.5770000Z,FlyBall,v3,exId_trackmanTeamX,test-11,,"Test11, Ola11",10112878,Right,TeamX,0b09a30f-d796-4908-a5c4-0c3cf6f6be15,54.5649,-132.504,14.52137,5.73537,-3.81658,-11.36046,2.2084,-6.62159,3.5329,151.393512,2.28292,133.30118,-25.3125,6.3975,-1.58504,0.39645,-0.08511,0.01142,-0.00064,2.25682,69.60688,-18.93612,0.89845,0.22633,-0.18791,0.05703,-0.00796,0.00042,0.07818,-46.98244,3.41753,0.03481,-0.07698,-0.0024,0.00781,-0.00186,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,
8,2026-04-14,18:07:45.52,1,8,"Test12, Ola12",10113786,Right,TeamX,"HQ, Trackman Test 31",1000082931,Right,TestK,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,103.64446,-1.5568,2.458624,2933.29,120.812907,10:45,6.53652,-3.33611,5.26498,-25.11001,9.00863,-6.2215,2.12409,-0.046,56.4204,-6.311375,1.773473,0.420404,107.42503,26.234475,-19.413234,2475.604471,103.06677,49.32486,-38.43423,405.5617,396.49799,-23.151821,4.620442,4.05331,5.42276,1.98363,50,5.58979,-6.37724,-131.49964,-4.60232,7.0658,29.04273,-22.72092,TeamX,TestK,THQ,D1,AMER,20260414-THQ-1,b1eba2e0-3813-11f1-91df-9b21431421ad,89.6576,73.64799,,7.9301,,,,2.28334,2.25508,0.07802,9d174295-deef-4c12-aacc-944d3ac42212,2026-04-14,15:07:45.52,2026-04-14T18:07:45.5220000+03:00,2026-04-14T15:07:45.5220000Z,FlyBall,v3,exId_trackmanTeamX,test-11,,"Test11, Ola11",10112878,Right,TeamX,920ec307-d537-4461-b602-f5a119e51adf,54.5649,-132.504,14.52137,5.73537,-3.81658,-11.36046,2.2084,-6.62159,3.5329,151.393512,2.28292,133.30118,-25.3125,6.3975,-1.58504,0.39645,-0.08511,0.01142,-0.00064,2.25682,69.60688,-18.93612,0.89845,0.22633,-0.18791,0.05703,-0.00796,0.00042,0.07818,-46.98244,3.41753,0.03481,-0.07698,-0.0024,0.00781,-0.00186,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,
9,2026-04-14,18:07:54.53,1,9,"Test20, Ola20",10113794,Right,TeamX,"HQ, Trackman Test 31",1000082931,Right,TestK,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,62.4289,-1.48466,1.059564,1091.43,150.264467,10:45,4.48868,-6.55338,6.00815,-25.11001,9.00863,-6.2215,2.12409,-0.046,82.89173,-6.311375,1.773473,0.420404,107.42503,26.234475,-19.413234,2475.604471,103.06677,49.32486,-38.43423,405.5617,396.49799,-23.151821,4.620442,4.05331,5.42276,1.98363,50,5.58979,-6.37724,-131.49964,-4.60232,7.0658,29.04273,-22.72092,TeamX,TestK,THQ,D1,AMER,20260414-THQ-1,b748c650-3813-11f1-91df-9b21431421ad,89.6576,73.64799,,7.9301,,,,2.28334,2.25508,0.07802,9d174295-deef-4c12-aacc-944d3ac42212,2026-04-14,15:07:54.53,2026-04-14T18:07:54.5349730+03:00,2026-04-14T15:07:54.5349730Z,FlyBall,v3,exId_trackmanTeamX,test-11,,"Test11, Ola11",10112878,Right,TeamX,dfc78e01-b840-4b6e-a321-584a4eeb0872,54.5649,-132.504,14.52137,5.73537,-3.81658,-11.36046,2.2084,-6.62159,3.5329,151.393512,2.28292,133.30118,-25.3125,6.3975,-1.58504,0.39645,-0.08511,0.01142,-0.00064,2.25682,69.60688,-18.93612,0.89845,0.22633,-0.18791,0.05703,-0.00796,0.00042,0.07818,-46.98244,3.41753,0.03481,-0.07698,-0.0024,0.00781,-0.00186,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,
10,2026-04-14,18:08:03.51,1,10,"Test20, Ola20",10113794,Right,TeamX,"HQ, Trackman Test 31",1000082931,Right,TestK,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,98.19201,-2.34711,1.381496,1036.31,153.370134,10:45,4.30243,-3.77859,4.40665,-25.11001,9.00863,-6.2215,2.12409,-0.046,50.14598,-6.311375,1.773473,0.420404,107.42503,26.234475,-19.413234,2475.604471,103.06677,49.32486,-38.43423,405.5617,396.49799,-23.151821,4.620442,4.05331,5.42276,1.98363,50,5.58979,-6.37724,-131.49964,-4.60232,7.0658,29.04273,-22.72092,TeamX,TestK,THQ,D1,AMER,20260414-THQ-1,bca79770-3813-11f1-91df-9b21431421ad,89.6576,73.64799,,7.9301,,,,2.28334,2.25508,0.07802,9d174295-deef-4c12-aacc-944d3ac42212,2026-04-14,15:08:03.51,2026-04-14T18:08:03.5196572+03:00,2026-04-14T15:08:03.5196572Z,FlyBall,v3,exId_trackmanTeamX,test-11,,"Test11, Ola11",10112878,Right,TeamX,34b79bc3-1c59-4383-b76d-8bbe9936457c,54.5649,-132.504,14.52137,5.73537,-3.81658,-11.36046,2.2084,-6.62159,3.5329,151.393512,2.28292,133.30118,-25.3125,6.3975,-1.58504,0.39645,-0.08511,0.01142,-0.00064,2.25682,69.60688,-18.93612,0.89845,0.22633,-0.18791,0.05703,-0.00796,0.00042,0.07818,-46.98244,3.41753,0.03481,-0.07698,-0.0024,0.00781,-0.00186,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,
